"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа  в аккаунт негативными даннами","1084","paramNegativeTest","Surefire suite","Tue Oct 07 16:15:10 UTC 2025","passed","Tue Oct 07 16:15:11 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","7759","Проверка отоброжения ошибки при создании быстрой тренировки с пустым полем Date ","Surefire suite","Tue Oct 07 16:14:50 UTC 2025","passed","Tue Oct 07 16:14:58 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","testdatecheckMoveWorkout"
"Проверка перехода в настройки профиля","7191","Проверка перехода в настройки профиля","Surefire suite","Tue Oct 07 16:13:51 UTC 2025","passed","Tue Oct 07 16:13:58 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkOpenSettingPage"
"Проверка входа  в аккаунт негативными даннами","1194","Проверка входа  в аккаунт негативными даннами","Surefire suite","Tue Oct 07 16:14:58 UTC 2025","passed","Tue Oct 07 16:14:59 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка изменения настроек пользователя","26565","Проверка изменения настроек пользователя","Surefire suite","Tue Oct 07 16:12:20 UTC 2025","passed","Tue Oct 07 16:12:46 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","CheckEditSettings"
"Проверка Смены месяца","5164","Проверка Смены месяца","Surefire suite","Tue Oct 07 16:14:32 UTC 2025","passed","Tue Oct 07 16:14:37 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMonthChange"
"Проверка перемещения тренировки","5740","Проверка перемещения тренировки","Surefire suite","Tue Oct 07 16:14:37 UTC 2025","passed","Tue Oct 07 16:14:43 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMoveWorkout"
"Проверка входа  в аккаунт негативными даннами","1044","paramNegativeTest","Surefire suite","Tue Oct 07 16:15:11 UTC 2025","passed","Tue Oct 07 16:15:12 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка копирования тренировки","5805","Проверка копирования тренировки","Surefire suite","Tue Oct 07 16:14:02 UTC 2025","passed","Tue Oct 07 16:14:08 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCopyWorkout"
"Проверка выхода из акаунта","3223","Проверка выхода из акаунта","Surefire suite","Tue Oct 07 16:13:58 UTC 2025","passed","Tue Oct 07 16:14:02 UTC 2025","tests.LogoutTest","Surefire test","tests.LogoutTest","checkLogout"
"Проверка удаления тренировки","15633","Проверка удаления тренировки","Surefire suite","Tue Oct 07 16:14:16 UTC 2025","passed","Tue Oct 07 16:14:32 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkDeleteWorkout"
"Проверка создания тренировки","8286","Проверка создания тренировки","Surefire suite","Tue Oct 07 16:14:08 UTC 2025","passed","Tue Oct 07 16:14:16 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCreateWorkout"
"Проверка редактирования профеля пользователя","43994","Проверка редактирования профеля пользователя","Surefire suite","Tue Oct 07 16:12:46 UTC 2025","passed","Tue Oct 07 16:13:30 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfile"
"Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","7506","Проверка отоброжения ошибки при создании быстрой тренировки с невыбранным активным спортом ","Surefire suite","Tue Oct 07 16:14:43 UTC 2025","passed","Tue Oct 07 16:14:50 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","testcheckMoveWorkout"
"Проверка отоброжения ошибки при сохранении профиля с пустым именем","20738","Проверка отоброжения ошибки при сохранении профиля с пустым именем ","Surefire suite","Tue Oct 07 16:13:30 UTC 2025","passed","Tue Oct 07 16:13:51 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfileWithEmptyName"
"Проверка входа  в аккаунт позитивными даннами","9099","Проверка входа  в аккаунт позитивными даннами","Surefire suite","Tue Oct 07 16:15:00 UTC 2025","passed","Tue Oct 07 16:15:09 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка входа  в аккаунт негативными даннами","1455","paramNegativeTest","Surefire suite","Tue Oct 07 16:15:12 UTC 2025","passed","Tue Oct 07 16:15:14 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
